"","x"
"1","cent"
"2","dime"
"3","dime"
"4","dime"
"5","dime"
"6","cent"
"7","cent"
"8","dime"
"9","cent"
"10","dime"
"11","cent"
"12","dime"
"13","dime"
"14","cent"
"15","cent"
"16","dime"
"17","cent"
"18","cent"
"19","cent"
"20","cent"
"21","cent"
"22","cent"
"23","dime"
"24","dime"
"25","cent"
"26","cent"
"27","cent"
"28","dime"
"29","dime"
"30","cent"
"31","cent"
"32","dime"
"33","cent"
"34","dime"
"35","dime"
"36","cent"
"37","cent"
"38","dime"
"39","dime"
"40","cent"
"41","cent"
"42","dime"
"43","dime"
"44","dime"
"45","dime"
"46","dime"
"47","dime"
"48","dime"
"49","cent"
"50","cent"
